Município,codigo_ibge,Data,Total_de_Casos,Novos_Casos,Casos_por_mm7d,Total_de_Óbitos,Novos_Óbitos,Óbitos_por_mm7d,Letalidade,População,Área_(Km2),Latitude,Longitude,Mesorregião,Microrregião
Santana de Parnaíba,3547304,2020-03-21,2,0,0.14,0,0,0.0,0.0,138132,180,-23.4439,-46.9178,Metropolitana de São Paulo,Osasco
Cotia,3513009,2020-03-21,2,0,0.29,0,0,0.0,0.0,247424,324,-23.6022,-46.919,Metropolitana de São Paulo,Itapecerica da Serra
São José do Rio Preto,3549805,2020-03-21,1,0,0.14,0,0,0.0,0.0,447924,432,-20.8113,-49.3758,São José do Rio Preto,São José do Rio Preto
São Caetano do Sul,3548807,2020-03-21,4,0,0.57,0,0,0.0,0.0,151244,15,-23.6229,-46.5548,Metropolitana de São Paulo,São Paulo
Carapicuíba,3510609,2020-03-21,2,0,0.14,0,0,0.0,0.0,394598,35,-23.5235,-46.8407,Metropolitana de São Paulo,Osasco
Osasco,3534401,2020-03-21,1,0,0.14,0,0,0.0,0.0,680964,65,-23.5324,-46.7916,Metropolitana de São Paulo,Osasco
Mauá,3529401,2020-03-21,1,0,0.14,0,0,0.0,0.0,460132,62,-23.6677,-46.4613,Metropolitana de São Paulo,São Paulo
Campinas,3509502,2020-03-21,1,0,0.14,0,0,0.0,0.0,1175501,795,-22.9053,-47.0659,Campinas,Campinas
Hortolândia,3519071,2020-03-21,1,0,0.14,0,0,0.0,0.0,230268,62,-22.8529,-47.2143,Campinas,Campinas
Taubaté,3554102,2020-03-21,1,0,0.14,0,0,0.0,0.0,307361,6,-23.0104,-45.5593,Vale do Paraíba Paulista,São José dos Campos
Barueri,3505708,2020-03-21,1,0,0.14,0,0,0.0,0.0,264390,7,-23.5057,-46.879,Metropolitana de São Paulo,Osasco
Suzano,3552502,2020-03-21,1,0,0.14,0,0,0.0,0.0,291002,206,-23.5448,-46.3112,Metropolitana de São Paulo,Mogi das Cruzes
São José dos Campos,3549904,2020-03-21,1,0,0.14,0,0,0.0,0.0,710654,1099,-23.1896,-45.8841,Vale do Paraíba Paulista,São José dos Campos
São Paulo,3550308,2020-03-21,306,0,34.86,9,0,1.29,0.03,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
São Bernardo do Campo,3548708,2020-03-21,4,0,0.57,0,0,0.0,0.0,812086,410,-23.6914,-46.5646,Metropolitana de São Paulo,São Paulo
Mogi das Cruzes,3530607,2020-03-21,1,0,0.14,0,0,0.0,0.0,432905,713,-23.5208,-46.1854,Metropolitana de São Paulo,Mogi das Cruzes
Santo André,3547809,2020-03-21,3,0,0.43,0,0,0.0,0.0,693867,176,-23.6737,-46.5432,Metropolitana de São Paulo,São Paulo
Ferraz de Vasconcelos,3515707,2020-03-22,1,0,0.0,0,0,0.0,0.0,193037,30,-23.5411,-46.371,Metropolitana de São Paulo,Mogi das Cruzes
São Caetano do Sul,3548807,2020-03-22,4,0,0.57,0,0,0.0,0.0,151244,15,-23.6229,-46.5548,Metropolitana de São Paulo,São Paulo
Suzano,3552502,2020-03-22,1,0,0.14,0,0,0.0,0.0,291002,206,-23.5448,-46.3112,Metropolitana de São Paulo,Mogi das Cruzes
Mauá,3529401,2020-03-22,1,0,0.14,0,0,0.0,0.0,460132,62,-23.6677,-46.4613,Metropolitana de São Paulo,São Paulo
Osasco,3534401,2020-03-22,1,0,0.14,0,0,0.0,0.0,680964,65,-23.5324,-46.7916,Metropolitana de São Paulo,Osasco
Carapicuíba,3510609,2020-03-22,2,0,0.14,0,0,0.0,0.0,394598,35,-23.5235,-46.8407,Metropolitana de São Paulo,Osasco
Campinas,3509502,2020-03-22,1,0,0.14,0,0,0.0,0.0,1175501,795,-22.9053,-47.0659,Campinas,Campinas
Mogi das Cruzes,3530607,2020-03-22,1,0,0.14,0,0,0.0,0.0,432905,713,-23.5208,-46.1854,Metropolitana de São Paulo,Mogi das Cruzes
São Paulo,3550308,2020-03-22,306,0,34.86,9,0,1.29,0.03,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
São José do Rio Preto,3549805,2020-03-22,1,0,0.14,0,0,0.0,0.0,447924,432,-20.8113,-49.3758,São José do Rio Preto,São José do Rio Preto
Cotia,3513009,2020-03-22,2,0,0.29,0,0,0.0,0.0,247424,324,-23.6022,-46.919,Metropolitana de São Paulo,Itapecerica da Serra
Barueri,3505708,2020-03-22,1,0,0.14,0,0,0.0,0.0,264390,7,-23.5057,-46.879,Metropolitana de São Paulo,Osasco
Hortolândia,3519071,2020-03-22,1,0,0.14,0,0,0.0,0.0,230268,62,-22.8529,-47.2143,Campinas,Campinas
Taubaté,3554102,2020-03-22,1,0,0.14,0,0,0.0,0.0,307361,6,-23.0104,-45.5593,Vale do Paraíba Paulista,São José dos Campos
São Bernardo do Campo,3548708,2020-03-22,4,0,0.57,0,0,0.0,0.0,812086,410,-23.6914,-46.5646,Metropolitana de São Paulo,São Paulo
Santana de Parnaíba,3547304,2020-03-22,2,0,0.14,0,0,0.0,0.0,138132,180,-23.4439,-46.9178,Metropolitana de São Paulo,Osasco
Guarulhos,3518800,2020-03-22,1,0,0.14,0,0,0.0,0.0,1351275,319,-23.4538,-46.5333,Metropolitana de São Paulo,Guarulhos
São José dos Campos,3549904,2020-03-22,1,0,0.14,0,0,0.0,0.0,710654,1099,-23.1896,-45.8841,Vale do Paraíba Paulista,São José dos Campos
Santo André,3547809,2020-03-22,3,0,0.43,0,0,0.0,0.0,693867,176,-23.6737,-46.5432,Metropolitana de São Paulo,São Paulo
Jaguariúna,3524709,2020-03-22,1,0,0.14,0,0,0.0,0.0,54848,141,-22.7037,-46.9851,Campinas,Campinas
São José do Rio Preto,3549805,2020-03-23,1,0,0.14,0,0,0.0,0.0,447924,432,-20.8113,-49.3758,São José do Rio Preto,São José do Rio Preto
São José dos Campos,3549904,2020-03-23,1,0,0.14,0,0,0.0,0.0,710654,1099,-23.1896,-45.8841,Vale do Paraíba Paulista,São José dos Campos
Santo André,3547809,2020-03-23,3,0,0.29,0,0,0.0,0.0,693867,176,-23.6737,-46.5432,Metropolitana de São Paulo,São Paulo
Osasco,3534401,2020-03-23,1,0,0.14,0,0,0.0,0.0,680964,65,-23.5324,-46.7916,Metropolitana de São Paulo,Osasco
Mogi das Cruzes,3530607,2020-03-23,1,0,0.14,0,0,0.0,0.0,432905,713,-23.5208,-46.1854,Metropolitana de São Paulo,Mogi das Cruzes
Cotia,3513009,2020-03-23,2,0,0.29,0,0,0.0,0.0,247424,324,-23.6022,-46.919,Metropolitana de São Paulo,Itapecerica da Serra
Barueri,3505708,2020-03-23,1,0,0.14,0,0,0.0,0.0,264390,7,-23.5057,-46.879,Metropolitana de São Paulo,Osasco
São Bernardo do Campo,3548708,2020-03-23,4,0,0.43,0,0,0.0,0.0,812086,410,-23.6914,-46.5646,Metropolitana de São Paulo,São Paulo
Ferraz de Vasconcelos,3515707,2020-03-23,1,0,0.0,0,0,0.0,0.0,193037,30,-23.5411,-46.371,Metropolitana de São Paulo,Mogi das Cruzes
Mauá,3529401,2020-03-23,1,0,0.0,0,0,0.0,0.0,460132,62,-23.6677,-46.4613,Metropolitana de São Paulo,São Paulo
São Caetano do Sul,3548807,2020-03-23,4,0,0.43,0,0,0.0,0.0,151244,15,-23.6229,-46.5548,Metropolitana de São Paulo,São Paulo
Suzano,3552502,2020-03-23,1,0,0.14,0,0,0.0,0.0,291002,206,-23.5448,-46.3112,Metropolitana de São Paulo,Mogi das Cruzes
Jaguariúna,3524709,2020-03-23,1,0,0.14,0,0,0.0,0.0,54848,141,-22.7037,-46.9851,Campinas,Campinas
Santana de Parnaíba,3547304,2020-03-23,2,0,0.14,0,0,0.0,0.0,138132,180,-23.4439,-46.9178,Metropolitana de São Paulo,Osasco
Carapicuíba,3510609,2020-03-23,2,0,0.14,0,0,0.0,0.0,394598,35,-23.5235,-46.8407,Metropolitana de São Paulo,Osasco
Hortolândia,3519071,2020-03-23,1,0,0.14,0,0,0.0,0.0,230268,62,-22.8529,-47.2143,Campinas,Campinas
Guarulhos,3518800,2020-03-23,1,0,0.14,0,0,0.0,0.0,1351275,319,-23.4538,-46.5333,Metropolitana de São Paulo,Guarulhos
São Paulo,3550308,2020-03-23,306,0,23.0,9,0,1.29,0.03,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
Taubaté,3554102,2020-03-23,1,0,0.14,0,0,0.0,0.0,307361,6,-23.0104,-45.5593,Vale do Paraíba Paulista,São José dos Campos
Campinas,3509502,2020-03-23,1,0,0.14,0,0,0.0,0.0,1175501,795,-22.9053,-47.0659,Campinas,Campinas
Campinas,3509502,2020-03-24,1,0,0.14,0,0,0.0,0.0,1175501,795,-22.9053,-47.0659,Campinas,Campinas
São Caetano do Sul,3548807,2020-03-24,4,0,0.43,0,0,0.0,0.0,151244,15,-23.6229,-46.5548,Metropolitana de São Paulo,São Paulo
São Bernardo do Campo,3548708,2020-03-24,4,0,0.43,0,0,0.0,0.0,812086,410,-23.6914,-46.5646,Metropolitana de São Paulo,São Paulo
Mogi das Cruzes,3530607,2020-03-24,1,0,0.14,0,0,0.0,0.0,432905,713,-23.5208,-46.1854,Metropolitana de São Paulo,Mogi das Cruzes
São José do Rio Preto,3549805,2020-03-24,1,0,0.14,0,0,0.0,0.0,447924,432,-20.8113,-49.3758,São José do Rio Preto,São José do Rio Preto
Jaguariúna,3524709,2020-03-24,1,0,0.14,0,0,0.0,0.0,54848,141,-22.7037,-46.9851,Campinas,Campinas
Santana de Parnaíba,3547304,2020-03-24,2,0,0.14,0,0,0.0,0.0,138132,180,-23.4439,-46.9178,Metropolitana de São Paulo,Osasco
Ferraz de Vasconcelos,3515707,2020-03-24,1,0,0.0,0,0,0.0,0.0,193037,30,-23.5411,-46.371,Metropolitana de São Paulo,Mogi das Cruzes
Osasco,3534401,2020-03-24,1,0,0.14,0,0,0.0,0.0,680964,65,-23.5324,-46.7916,Metropolitana de São Paulo,Osasco
Santo André,3547809,2020-03-24,3,0,0.29,0,0,0.0,0.0,693867,176,-23.6737,-46.5432,Metropolitana de São Paulo,São Paulo
Barueri,3505708,2020-03-24,1,0,0.14,0,0,0.0,0.0,264390,7,-23.5057,-46.879,Metropolitana de São Paulo,Osasco
Guarulhos,3518800,2020-03-24,1,0,0.0,0,0,0.0,0.0,1351275,319,-23.4538,-46.5333,Metropolitana de São Paulo,Guarulhos
Hortolândia,3519071,2020-03-24,1,0,0.14,0,0,0.0,0.0,230268,62,-22.8529,-47.2143,Campinas,Campinas
Cotia,3513009,2020-03-24,2,0,0.29,0,0,0.0,0.0,247424,324,-23.6022,-46.919,Metropolitana de São Paulo,Itapecerica da Serra
